2_G-56.47;3_G36.31;6_G63.29;8_G40.43;1_G137.1
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
141.1;136.4;0.2;13.1;143.1
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
139.7;135;0.2;12.9;141.7
142.5;137.7;0.2;13.2;144.5
143.9;139.1;0.2;13.3;146
145.3;140.4;0.2;13.5;147.4
146.7;141.8;0.2;13.6;148.8
148.1;143.2;0.2;13.7;150.3
148.1;143.2;0.2;13.7;150.3
146.7;141.8;0.2;13.6;148.8
143.9;139.1;0.2;13.3;146
142.5;137.7;0.2;13.2;144.5
141.1;136.4;0.2;13.1;143.1
139.7;135;0.2;12.9;141.7
138.3;133.6;0.2;12.8;140.2
136.8;132.3;0.2;12.7;138.8
136.8;132.3;0.2;12.7;138.8
138.3;133.6;0.2;12.8;140.2
